数据导出
唯一标识,商品编码,商户编码,图片链接,审核状态,异常标识
TMT000000007970369	,000000011275454718		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/gGKhHlOnNySLJgCos-tA3Q.png	,1	,1	
TMT000000007970370	,000000011275455232		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/PQHExhs9GU9kq1INQx8HZg.png	,1	,1	
TMT000000007970059	,000000011272013959		,0010187569	,https://image.suning.com/uimg/sop/transparent/312828732138968432479561.png	,1	,1	
TMT000000007969883	,000000011275419029		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/jExSr5ir0-z34-nx27vXDQ.png	,1	,1	
TMT000000007969879	,000000011275415940		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/YlTmBlWjV5kIjatocwdfiQ.png	,1	,1	
TMT000000007969874	,000000011275413645		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/5ZSv61TPAy5Pwf92F87SMw.png	,1	,1	
TMT000000007969880	,000000011275416318		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/K_oliFkew-43Cbav-pa-1A.png	,1	,1	
TMT000000007969875	,000000011275413976		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/1-Ddi3b9BnrHPmBObKS6CQ.png	,1	,1	
TMT000000007969873	,000000011275412355		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/72X912zujjqUmyPxxlOCSg.png	,1	,1	
TMT000000007969629	,000000011275398875		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/WEP82PG1Y_FuQZoohdfyYw.png	,1	,1	
TMT000000007969640	,000000011275403776		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/PlvdN_-ZiJ8zJo0DAKdz_g.png	,1	,1	
TMT000000007969649	,000000011275408099		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/X3bV3o0KWRDMQgJnaANLaA.png	,1	,1	
TMT000000007969633	,000000011275399525		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/MT5d7Lla1ivMxzEELayfNA.png	,1	,1	
TMT000000007969646	,000000011275407593		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/h_eISG6yLkN96e71AuCkZA.png	,1	,1	
TMT000000007969648	,000000011275407982		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/P1Cua5zTeWE89QcwMz28BA.png	,1	,1	
TMT000000007969653	,000000011275409403		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/svw4wwOLSUBJfNaWPShBXg.png	,1	,1	
TMT000000007969634	,000000011275401253		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/3X8p2CvYPnJ-hUGBgSdDpA.png	,1	,1	
TMT000000007969637	,000000011275402602		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/99xGakb5ekPjIZ9i8dT8xQ.png	,1	,1	
TMT000000007969642	,000000011275404167		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/TSOGZ0gy-5gtrp5Gi681-A.png	,1	,1	
TMT000000007969651	,000000011275408712		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/swEfuPMxSTwl-LMVsKIyoQ.png	,1	,1	
TMT000000007969645	,000000011275406617		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/PY6q8AfbWEbIMvn7syI3TQ.png	,1	,1	
TMT000000007969650	,000000011275408217		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/k_hKC9Kov1-jXKWvjBev1w.png	,1	,1	
TMT000000007969647	,000000011275407857		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/9pIyJAexxJSa57sB80ilgA.png	,1	,1	
TMT000000007969635	,000000011275401829		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/OLc1ah6ZUXcGWVdsomc33A.png	,1	,1	
TMT000000007969652	,000000011275409034		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/LYyfviIe5Yr9j748WfSULw.png	,1	,1	
TMT000000007969631	,000000011275399053		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/0Dvti4mFFIKyKG1B7DjW6g.png	,1	,1	
TMT000000007969638	,000000011275402991		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/ldb0swo2HeSVXBugSJTWrQ.png	,1	,1	
TMT000000007969438	,000000011275391141		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/tcABoL9E-4un2s04J2Fcxg.png	,1	,1	
TMT000000007969433	,000000011275389128		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/o5hNBHDRFGCV6e59C6nc0A.png	,1	,1	
TMT000000007969440	,000000011275392253		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/WoQJnxTVJ56LfjPRe-kNUg.png	,1	,1	
TMT000000007969435	,000000011275389260		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/RwyXgKtK3CxZTv4Sw-52Vg.png	,1	,1	
TMT000000007969443	,000000011275393498		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/okWaSW0yLXH0-PU-Lk6bEA.png	,1	,1	
TMT000000007969447	,000000011275394299		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Gz0r5RGJ7I3cBLd_Dom92w.png	,1	,1	
TMT000000007969436	,000000011275389367		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/yr0WHPzlAY1SB9OILFJ_Tg.png	,1	,1	
TMT000000007969451	,000000011275398264		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/iFv3Rq_THf4LiMujsFAGCA.png	,1	,1	
TMT000000007969430	,000000011275388304		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/-GZXb2UWsc8SCcTP5cctvA.png	,1	,1	
TMT000000007969453	,000000011275398645		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/DbJ87dpcsq7NARRGQKoJIg.png	,1	,1	
TMT000000007969429	,000000011275387547		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/fSS1qAuXLc9Ro8G4T7yGIg.png	,1	,1	
TMT000000007969442	,000000011275393011		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/wwPuDPx4AsTAHrmTu97liw.png	,1	,1	
TMT000000007969449	,000000011275396556		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/F8EDaY5PjDecrq5kFIxjgw.png	,1	,1	
TMT000000007646360	,000000011211230098		,0070851000	,https://image.suning.com/uimg/sop/transparent/291683797581600794626064.png	,3	,1	
TMT000000007969445	,000000011275393856		,0070485868	,http://uimgproxy.suning.cn/uimg1/sop/commodity/K3JVYD3BFktRpJ0-Aa1vdg.png	,1	,1	
TMT000000007969540	,000000011211230098		,0070851000	,https://image.suning.com/uimg/sop/transparent/181738845412603564336454.png	,1	,1	
TMT000000007969254	,000000011275375795		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/6J7XXVd-ygj-TJC5C6vQOA.png	,1	,1	
TMT000000007969251	,000000011275372675		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/od6MquO2_qEDWp5JZRAFjQ.png	,1	,1	
TMT000000007969257	,000000011275376421		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/flzZPD7SM6VWaxH7kjQtFA.png	,1	,1	
